Date,Price,Open,High,Low,Vol.,Change %
27-09-23,93.26,93.26,93.26,93.26,,0.26%
26-09-23,93.03,93.03,93.03,93.03,,0.12%
25-09-23,92.91,92.91,92.91,92.91,,-0.15%
22-09-23,93.05,93.05,93.05,93.05,,0.02%
21-09-23,93.04,93.04,93.04,93.04,,-0.11%
20-09-23,93.14,93.14,93.14,93.14,,-0.01%
19-09-23,93.15,93.15,93.15,93.15,,-0.53%
18-09-23,93.64,93.64,93.64,93.64,,0.10%
15-09-23,93.56,93.56,93.56,93.56,,0.11%
14-09-23,93.45,93.45,93.45,93.45,,1.37%
13-09-23,92.18,92.18,92.18,92.18,,-0.17%
12-09-23,92.34,92.34,92.34,92.34,,1.05%
11-09-23,91.38,91.38,91.38,91.38,,0.01%
08-09-23,91.37,91.37,91.37,91.37,,0.56%
07-09-23,90.86,90.86,90.86,90.86,,-0.91%
06-09-23,91.69,91.69,91.69,91.69,,0.98%
05-09-23,90.8,90.8,90.8,90.8,,1.25%
01-09-23,89.68,89.68,89.68,89.68,,3.72%
31-08-23,86.46,86.47,86.47,86.47,,0.05%
30-08-23,86.42,86.42,86.42,86.42,,-0.01%
29-08-23,86.43,86.43,86.43,86.43,,0.05%
28-08-23,86.39,86.39,86.39,86.39,,-0.02%
25-08-23,86.4,86.4,86.4,86.4,,0.26%
24-08-23,86.18,86.18,86.18,86.18,,0.11%
23-08-23,86.09,86.09,86.09,86.09,,-0.22%
22-08-23,86.28,86.28,86.28,86.28,,-0.10%
21-08-23,86.36,86.36,86.36,86.36,,-0.09%
18-08-23,86.44,86.44,86.44,86.44,,0.51%
17-08-23,86,86,86,86,,0.37%
16-08-23,85.68,85.68,85.68,85.68,,-0.82%
15-08-23,86.39,86.39,86.39,86.39,,-0.93%
14-08-23,87.2,87.2,87.2,87.2,,-0.48%
11-08-23,87.63,87.63,87.63,87.63,,0.36%
10-08-23,87.32,87.32,87.32,87.32,,-0.97%
09-08-23,88.18,88.17,88.17,88.17,,0.80%
08-08-23,87.47,87.47,87.47,87.47,,0.83%
07-08-23,86.75,86.75,86.75,86.75,,-0.55%
04-08-23,87.23,87.23,87.23,87.23,,1.21%
03-08-23,86.18,86.19,86.19,86.19,,2.22%
02-08-23,84.32,84.32,84.32,84.32,,-1.48%
01-08-23,85.58,85.58,85.58,85.58,,6.38%
31-07-23,80.44,80.44,80.44,80.44,,0.02%
28-07-23,80.43,80.43,80.43,80.43,,0.02%
27-07-23,80.42,80.42,80.42,80.42,,0.15%
26-07-23,80.29,80.29,80.29,80.29,,-0.24%
25-07-23,80.49,80.49,80.49,80.49,,0.23%
24-07-23,80.3,80.3,80.3,80.3,,0.50%
21-07-23,79.9,79.9,79.9,79.9,,0.61%
20-07-23,79.41,79.41,79.41,79.41,,0.14%
19-07-23,79.3,79.3,79.3,79.3,,-0.04%
